# Simulation 1 (Data loaded from a file)
# 1236 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Mass (g),Wind velocity (m/s),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,90.012,3.869e4,2.315,334.866,0.007
0.01,0,0.003,0.003,0.008,89.954,3.869e4,2.297,334.866,0.007
0.02,2.95e-4,0.075,0.075,0.008,88.121,3.868e4,2.278,334.866,0.007
0.03,0.002,0.262,0.262,0.008,83.365,3.868e4,2.259,334.866,0.007
0.039,0.005,0.527,0.527,0.008,76.776,3.867e4,2.242,334.866,0.007
0.049,0.013,0.945,0.945,0.008,66.979,3.866e4,2.223,334.866,0.007
# Event LIFTOFF occurred at t=0.059 seconds
0.059,0.025,1.508,1.508,0,56.093,3.865e4,2.246,334.866,0.008
0.069,0.043,2.155,2.155,0,46.524,3.863e4,2.274,334.866,0.009
0.079,0.068,2.822,2.822,0,39.19,3.861e4,2.301,334.866,0.011
0.089,0.1,3.51,3.51,0,33.575,3.859e4,2.329,334.866,0.013
0.099,0.138,4.219,4.219,0,29.164,3.858e4,2.357,334.866,0.014
0.109,0.184,4.95,4.95,0,25.669,3.856e4,2.377,334.865,0.016
0.119,0.237,5.701,5.701,0,22.804,3.854e4,2.397,334.865,0.018
0.129,0.298,6.473,6.473,0,20.455,3.852e4,2.417,334.865,0.021
0.141,0.381,7.428,7.428,0,18.163,3.85e4,2.441,334.865,0.023
0.151,0.46,8.231,8.231,0,16.616,3.848e4,2.458,334.864,0.026
0.161,0.546,9.026,9.026,0,15.183,3.846e4,2.448,334.864,0.028
0.171,0.64,9.812,9.812,0,13.98,3.844e4,2.439,334.864,0.03
0.181,0.742,10.588,10.588,0,12.892,3.842e4,2.429,334.863,0.032
0.19,0.846,11.314,11.314,0,12.089,3.841e4,2.42,334.863,0.035
0.199,0.949,11.985,11.985,0,11.402,3.839e4,2.411,334.862,0.037
# Event LAUNCHROD occurred at t=0.208 seconds
0.208,1.051,12.612,12.612,0.134,10.886,3.837e4,2.425,334.862,0.038
